Participant_ID,Gender_M,Age,Ethnicity,Q4_6_TEXT,Education,Income,Home_Area,Politics,Q8_6_TEXT,Recreation_Freq,Q10,Hunting or fishing,Q10_11_TEXT,Q12,Q12_6_TEXT,Q43,Q14,Q13_1,Q13_12,Q13_13,Q13_2,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q15,Q16,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q45,Q45_4_TEXT,Q48,Q49,Q50,Q51,Q20,Q22_1,Q22_2,Q22_3,Q22_17,Q22_18,Q22_19,Q22_20,Q22_21,Q22_4,Q22_22,Q22_23,Q22_24,Q22_25,Q22_26,Q22_27,Q22_28,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q26_1,Q26_2,Q26_3,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q29,Q30,Q31,Q32,Q33,Q52,Q34,Q35,Q53,Q36,Q37,Q54,Q56,Q55,Q58,Q57,Q59,Q60,MID,Excluded
1,0,26,"Caucasian or White,Hispanic or Latino",,"Some college, no degree",$0 - $49.999,Urban/downtown/high density,Moderate,,Rarely (About once a year),Hiking,0,,,,"Animals in the desert, forest, places like that. So, giraffes, elephants, tigers, frogs, snakes.","I do not have one. Maybe when I visited the San Diego Zoo way over ten years ago, but not one I can specifically recall.",Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Rabies. They're dangerous, I think. They're ugly. They look gross. I don't want them near me. I think of caves when I think of bats.",They have always been ugly and gross to me.,Never,Never,Never,Never,Never,Never,Never,A Little (About once a year),Negatively,,No,,No,,I have never had one.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,5 - I would definitely do this,5 - I would definitely do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,3 - I might do this,TRUE,FALSE,FALSE,I don't know,I don't know,Echolocation,I don't know,I don't know,I don't know,I don't know,I don’t know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,
2,0,28,Caucasian or White,,High school degree or equivalent (e.g. GED),$0 - $49.999,Urban/downtown/high density,Somewhat liberal,,Sometimes (A few times a year),"Hiking,Camping,Kayaking/Canoeing,Fishing",1,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"deer, bears, lions",I went to an outdoor zoo as a kid that you drove in your car and had lions and emu's come up to the car. The emu pecked at the window and terrified me with its ferociousness. ,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,"interesting, ugly, unique, echolocation",I was worried that they would get caught in my hair if one flew around me,A Little (About once a year),A Little (About once a year),A Little (About once a year),A Little (About once a year),A Little (About once a year),A Little (About once a year),A Little (About once a year),Sometimes (A few times per year),Positively,,No,,No,,last year a bat found it's way in the hallway of my apartment building. a drunk neighbor tried to catch it with one of those beer boxes that holds a 24 pack. I came out and provided a basket that was a more reasonable option. He caught it and then released it back outside.,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,,4 - I'm very likely to do this,1 - I would absolutely not do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,1 - I would absolutely not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,TRUE,FALSE,FALSE,TRUE,Mammals,Echolocation,Fruit,I don't know,Habitat loss from humans moving into bat caves,Kit,Yes,I don't know,I don't know,Yes,Yes,I don't know,Yes,No,,
3,1,50,Caucasian or White,,"Some college, no degree","$50,000 - $99,999",Small city or town,Somewhat conservative,,Often (About once a month),"Hiking,Camping",0,,"I have a bird feeder in my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"We see squirrels, skunks, wood chucks, deer, a lot of geese and ducks",I got to see a wild bear fairly close up in Smoky Mountains National Park.,Strongly disagree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disease. Beady eyes. Screeching. Black leathery skin. Skeletal wings. Ew.,"One got tangled up in my sister's hair in my grandmother's backyard. She was terrified of them, I tend to not like them myself.",A Little (About once a year),A Little (About once a year),Sometimes (A few times per year),A Little (About once a year),Never,A Little (About once a year),Never,A Little (About once a year),Negatively,,No,,No,,One got tangled up in my sister's hair in my grandma's backyard. My dad had to use electricians gloves and scissors to get him out.,Agree,Somewhat agree,Strongly Agree,Agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Somewhat disagree,Strongly Agree,Strongly disagree,I'd prefer not to be around bats.,5 - I would definitely do this,2 - I probably would not do this,5 - I would definitely do this,2 - I probably would not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,2 - I probably would not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,TRUE,FALSE,FALSE,TRUE,Mammals,Echolocation,Fruit,I don't know,I don't know,Pup,Yes,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
4,0,29,Caucasian or White,,"Some college, no degree",$0 - $49.999,Suburban/edge of a large city,Moderate,,Sometimes (A few times a year),"Camping,Kayaking/Canoeing,Fishing",1,,"I have a bird feeder in my home,I plant native species in my yard",,"deer, ducks, squirrels",sitting in the middle of a flock of ducks while I hand fed them,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,winged puppy,"I used to hate them til my mom said she liked them, then it made me really look at them and I thought they were actually cute.",All the time (Daily-weekly),All the time (Daily-weekly),All the time (Daily-weekly),All the time (Daily-weekly),A Little (About once a year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Negatively,,No,,No,,"One flew at my head once, that's about as bad as it gets.",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly Agree,"They look like gremlin, winged, puppies",1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,TRUE,TRUE,FALSE,FALSE,Mammals,Sonar,Insects,I don't know,I don't know,Pup,Yes,I don't know,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
5,1,20,Caucasian or White,,"Some college, no degree",$0 - $49.999,Suburban/edge of a large city,Somewhat liberal,,Rarely (About once a year),"Hiking,Kayaking/Canoeing,Other",0,swimming,"I plant native species in my yard,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,coyote foxes bears fish,I remember seeing a group of dear the first time i went camping.,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,I wouldn't want them in my house but in a cave they're cool,I never really thought about bats except for batman and didnt get why they were scary,Never,Never,Never,Never,Never,A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,only ever seen them in a zoo,Disagree,Somewhat agree,Disagree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,cant think of anything,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,TRUE,I don't know,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,I don't know,Pup,Yes,I don't know,I don't know,I don't know,I don't know,Yes,Yes,Yes,,
6,0,63,Caucasian or White,,High school degree or equivalent (e.g. GED),"$50,000 - $99,999",Urban/downtown/high density,Moderate,,Sometimes (A few times a year),"Hiking,Camping,Fishing",1,,"I have a bird feeder in my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife,Other","I also see them at work. I work outside so I see skunks, possums and raccoons ",I think of the raccoons I see at work in the dumpsters looking for food. I see deer crossing the road near Sand Run Recreation area on my way to work. I see where the skunks dig up the grassy areas.,"Again, at work, in the springtime, I'm always careful around the animals and I wear gloves, but the baby raccoons come out looking for food so I'm always clearing them away from dumpsters. The babies are very trusting and at times it appears that they lift their paws for help when they get stuck. ",Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly Agree,Agree,Agree,Agree,Agree,"I had a scary experience with bats, so I don't particularly care for them. I was 9 months pregnant many years ago and climbed my stairs to go to bed one night when a bat started flying towards me. I ducked and screamed and my husband thought I went into labor. It took us forever to get it out of our old house. We opened windows and closed off rooms",I don't remember knowing about bats as a child except maybe in old movies.,A Little (About once a year),Never,Never,Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Often (Once a month),All the time (Daily-weekly),Negatively,,No,,No,,I mentioned the interaction on the previous page. ,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I've seen bats at the zoo more than once. I've always thought they were creepy but maybe that's because of the incident. ,2 - I probably would not do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,2 - I probably would not do this,3 - I might do this,5 - I would definitely do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,4 - I'm very likely to do this,2 - I probably would not do this,TRUE,I don't know,I don't know,I don't know,Mammals,Sonar,Fruit,I don't know,I don't know,I don't know,I don’t know,I don't know,I don't know,I don't know,I don't know,I don't know,Yes,I don't know,,
7,0,40,Caucasian or White,,"Graduate or professional degree (e.g MS, MA, JD, MD, PhD)","$50,000 - $99,999",Rural,Somewhat liberal,,Sometimes (A few times a year),"Hiking,Camping",0,,"I have a bird feeder in my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"deer, raccoons, opossums, birds, coyote",There was once a opossum trapped in my mom's garage. It was up on a shelf and hissing at everything that came near it. ,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly Agree,"small, furry, beady eyes; caves, dark",I would have been scared of them. ,Never,Never,Sometimes (A few times per year),Sometimes (A few times per year),A Little (About once a year),A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,One got in our school building during the summer. I would see it flying around the hallway. My principal ended up having to catch it. Pretty funny,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly Agree,Agree,Somewhat disagree,Neither agree nor disagree,Agree,They really are cool; and I would still cringe if one flew near me. ,3 - I might do this,2 - I probably would not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,5 - I would definitely do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,TRUE,FALSE,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,I don't know,Pup,Yes,No,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
8,1,33,Hispanic or Latino,,"Some college, no degree",$0 - $49.999,Suburban/edge of a large city,Somewhat liberal,,Rarely (About once a year),Camping,0,,I feed other kinds of animals around my home,,"Animals that live in areas far away from where I live, such as forests or jungle. ",My most memorable interaction would be seeing animals in a large open space zoo or habitat.,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,"nuisance, rodent, pest",I felt that they were an all right animal but one that I would never have to deal with and only showed up in movies. ,Never,Never,Never,Never,Never,Never,Never,A Little (About once a year),"Negatively,Comments:",They are usually shown as a scare jump in a horror movie or a symbol of fear. ,No,,No,,I haven't had one. ,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,N/A,5 - I would definitely do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,4 - I'm very likely to do this,TRUE,TRUE,I don't know,I don't know,Mammals,Sonar,Insects,250,A disease called White-Nose Syndrome,I don't know,Yes,No,No,No,No,No,Yes,No,,
9,0,44,"African American or Black,Caucasian or White",,"Bachelor's degree (e.g. BS, BA, AB)","$50,000 - $99,999",Small city or town,Very liberal,,All the time (Once a week or more),"Hiking,Backpacking,Camping,Kayaking/Canoeing,Fishing,Horseback riding,Skiing/snowboarding",0,,"I have a bird feeder in my home,I feed other kinds of animals around my home,I plant native species in my yard,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Raccoons, deer, black bears, possum, bobcats, squirrels, beavers, woodchucks","I was hiking alone, something I rarely did (and haven't since). I stopped to take a drink as well as a few photos when I saw what appeared to be a gorillas hand gripping a tree. I stood there frozen in disbelief... then a black head peered from around the tree giving me a quizzical look. It was a black bear about q0 yards away from me. He looked friendly but I know better, I turned around and slowly walked back down the trail until I was out of sight, then I ran as fast as I could back to the trailhead & the safety of my car.",Strongly disagree,Somewhat agree,Disagree,Strongly Agree,Strongly disagree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Halloween, insect eaters, caves, night flyers, sonar","Frightened, grossed out",All the time (Daily-weekly),All the time (Daily-weekly),All the time (Daily-weekly),All the time (Daily-weekly),Sometimes (A few times per year),A Little (About once a year),Sometimes (A few times per year),Often (Once a month),"Negatively,Comments:",Bats are usually associated with frightening experiences.,No,,No,,We had a few bats in our attic. When my husband went to oust them he found a nest of babies...they were tiny little squirming pink things. We decided to wait a few weeks to give their family the boot.,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly Agree,Strongly disagree,Agree,Agree,Strongly Agree,Somewhat agree,Agree,Strongly disagree,Disagree,Disagree,Agree,"without bats insects would take over,  bats are actually cute if you really look at them closely",3 - I might do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,5 - I would definitely do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,4 - I'm very likely to do this,4 - I'm very likely to do this,2 - I probably would not do this,TRUE,TRUE,FALSE,FALSE,Mammals,Sonar,Insects,1000,A disease called White-Nose Syndrome,Pup,Yes,Yes,Yes,I don't know,Yes,Yes,Yes,Yes,,
10,1,31,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)","$100,000 - $199,999",Small city or town,Somewhat conservative,,All the time (Once a week or more),"Hiking,Backpacking,Cycling/Mountain biking,Camping,Rock climbing,Kayaking/Canoeing,Fishing,Skiing/snowboarding",1,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"deer, turkey, fish, local wildlife in general","Just last weekend I caught a golden trout. It took me two days of effort but the size and color was just amazing, This thing really shinned in the light and was beautiful.",Strongly disagree,Somewhat agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"flying, hanging, black",They are kind of weird but okay.,A Little (About once a year),A Little (About once a year),Sometimes (A few times per year),Sometimes (A few times per year),Never,A Little (About once a year),Never,Sometimes (A few times per year),"Negatively,Neutrally",,No,,No,,I've just seen them outside flying around at night.,Strongly disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat agree,Strongly Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,They have a spooky history to them but in real life they are just innocent animals,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,3 - I might do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,TRUE,I don't know,TRUE,TRUE,Mammals,Echolocation,Insects,I don't know,I don't know,Joey,Yes,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
